NAME,Price (in INR),Discount,Description,Original Price Claimed(in INR)
SCATCHITE,679,77% off,Checkered Men Round Neck Blue T-Shirt,2952.1739130434785
COBIO MAN,282,71% off,Graphic Print Men Round or Crew Blue T-Shirt,972.4137931034483
FIFA,239,60% off,Printed Men Round Neck White T-Shirt,597.5
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1398.5714285714287
Tfurnish,286,71% off,Solid Men Round or Crew Black T-Shirt,986.2068965517242
ADIDAS,649,50% off,Solid Men Round Neck Dark Blue T-Shirt,1298.0
U.S. Polo Assn,854,55% off,"Color block Men Polo Neck White, Blue T-Shirt",1897.7777777777778
Canis,174,70% off,"Typography Men Round or Crew White, Green T-Shirt",580.0
Arrow Sport,818,37% off,Solid Men Polo Neck Green T-Shirt,1298.4126984126983
Helmont,232,76% off,"Striped Men Hooded Neck Black, Red T-Shirt",966.6666666666666
Metronaut,279,65% off,"Solid Men Round Neck White, Green T-Shirt",797.1428571428571
Rezalia,249,75% off,Striped Men Round Neck Maroon T-Shirt,996.0
Young Trendz,299,64% off,"Printed Men Round or Crew Black, White T-Shirt",830.5555555555555
ADIDAS,"1,049",47% off,"Color Block Men Polo Neck Black, White T-Shirt",1979.245283018868
Metronaut,279,65% off,Printed Men Round or Crew Light Blue T-Shirt,797.1428571428571
Duke,597,40% off,Striped Men Polo Neck Pink T-Shirt,995.0
hero & piyush,197,80% off,Solid Men Hooded Black T-Shirt,985.0
Metronaut,349,65% off,Printed Men Round Neck Red T-Shirt,997.1428571428571
Kay Dee,435,63% off,Solid Men Round or Crew Multicolor T-Shirt,1175.6756756756756
Tfurnish,322,67% off,Solid Men Hooded Multicolor T-Shirt,975.7575757575758
Try This,452,65% off,"Solid Men Polo Neck Black, White T-Shirt",1291.4285714285713
Yes'No,199,80% off,Solid Men Hooded Neck Black T-Shirt,995.0
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1398.5714285714287
Helmont,233,76% off,Striped Men Hooded Neck Maroon T-Shirt,970.8333333333334
Billion,489,65% off,"PerfectFit Solid Men Round or Crew Grey, White T-Shirt",1397.142857142857
Rebozo,270,69% off,Striped Men Round Neck Red T-Shirt,870.9677419354839
Elepants,260,78% off,"Color Block Men Round Neck Black, White T-Shirt",1181.8181818181818
diwazzo,254,74% off,Solid Men Round Neck Blue T-Shirt,976.9230769230769
Try This,359,64% off,Solid Men V-neck Grey T-Shirt,997.2222222222222
GHPC,369,63% off,Striped Men Round or Crew Maroon T-Shirt,997.2972972972973
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1398.5714285714287
EG,304,61% off,Striped Men Scoop Neck Black T-Shirt,779.4871794871794
Duke,239,40% off,Printed Men Round Neck Orange T-Shirt,398.3333333333333
UZEE,274,72% off,Printed Men Round Neck Red T-Shirt,978.5714285714286
Metronaut,341,62% off,"Printed, Striped Men Round Neck Dark Green T-Shirt",897.3684210526316
Highlander,328,53% off,"Printed Men Round or Crew Black, Grey T-Shirt",697.8723404255319
Gritstones,399,60% off,"Ombre Men Hooded White, Black T-Shirt",997.5
Tfurnish,286,71% off,Solid Men Turtle Neck Blue T-Shirt,986.2068965517242
Trendfull,322,67% off,Self Design Men Hooded Blue T-Shirt,975.7575757575758
Dillinger,296,67% off,Striped Men Round Neck Grey T-Shirt,896.969696969697
ADIDAS,879,45% off,Striped Men Round Neck Grey T-Shirt,1598.1818181818182
Fabstone Collection,248,58% off,"Color block Men Round or Crew Black, Blue T-Shirt",590.4761904761905
NB NICKY BOY,269,75% off,Printed Men Round Neck Reversible White T-Shirt,1076.0
Billion,559,72% off,PerfectFit Solid Men Henley Multicolor T-Shirt,1996.4285714285713
Try This,399,60% off,Color Block Men Round Neck Black T-Shirt,997.5
Aelomart,424,71% off,"Striped Men Round Neck Light Green, Black T-Shirt",1462.0689655172414
Duke,597,40% off,Striped Men Polo Neck Pink T-Shirt,995.0
Try This,359,64% off,Self Design Men V-neck Blue T-Shirt,997.2222222222222
