NAME,Price (in INR),Discount,Description,Original Price Claimed(in INR), 
SCATCHITE,679,77% off,Checkered Men Round Neck Blue T-Shirt,1358,
COBIO MAN,282,71% off,Graphic Print Men Round or Crew Blue T-Shirt,564,
FIFA,239,60% off,Printed Men Round Neck White T-Shirt,478,
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1958,
Tfurnish,286,71% off,Solid Men Round or Crew Black T-Shirt,572,
ADIDAS,649,50% off,Solid Men Round Neck Dark Blue T-Shirt,1298,
U.S. Polo Assn,854,55% off,"Color block Men Polo Neck White, Blue T-Shirt",1708,
Canis,174,70% off,"Typography Men Round or Crew White, Green T-Shirt",348,
Arrow Sport,818,37% off,Solid Men Polo Neck Green T-Shirt,1636,
Helmont,232,76% off,"Striped Men Hooded Neck Black, Red T-Shirt",464,
Metronaut,279,65% off,"Solid Men Round Neck White, Green T-Shirt",558,
Rezalia,249,75% off,Striped Men Round Neck Maroon T-Shirt,498,
Young Trendz,299,64% off,"Printed Men Round or Crew Black, White T-Shirt",598,
ADIDAS,"1,049",47% off,"Color Block Men Polo Neck Black, White T-Shirt",2098,
Metronaut,279,65% off,Printed Men Round or Crew Light Blue T-Shirt,558,
Duke,597,40% off,Striped Men Polo Neck Pink T-Shirt,1194,
hero & piyush,197,80% off,Solid Men Hooded Black T-Shirt,394,
Metronaut,349,65% off,Printed Men Round Neck Red T-Shirt,698,
Kay Dee,435,63% off,Solid Men Round or Crew Multicolor T-Shirt,870,
Tfurnish,322,67% off,Solid Men Hooded Multicolor T-Shirt,644,
Try This,452,65% off,"Solid Men Polo Neck Black, White T-Shirt",904,
Yes'No,199,80% off,Solid Men Hooded Neck Black T-Shirt,398,
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1958,
Helmont,233,76% off,Striped Men Hooded Neck Maroon T-Shirt,466,
Billion,489,65% off,"PerfectFit Solid Men Round or Crew Grey, White T-Shirt",978,
Rebozo,270,69% off,Striped Men Round Neck Red T-Shirt,540,
Elepants,260,78% off,"Color Block Men Round Neck Black, White T-Shirt",520,
diwazzo,254,74% off,Solid Men Round Neck Blue T-Shirt,508,
Try This,359,64% off,Solid Men V-neck Grey T-Shirt,718,
GHPC,369,63% off,Striped Men Round or Crew Maroon T-Shirt,738,
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1958,
EG,304,61% off,Striped Men Scoop Neck Black T-Shirt,608,
Duke,239,40% off,Printed Men Round Neck Orange T-Shirt,478,
UZEE,274,72% off,Printed Men Round Neck Red T-Shirt,548,
Metronaut,341,62% off,"Printed, Striped Men Round Neck Dark Green T-Shirt",682,
Highlander,328,53% off,"Printed Men Round or Crew Black, Grey T-Shirt",656,
Gritstones,399,60% off,"Ombre Men Hooded White, Black T-Shirt",798,
Tfurnish,286,71% off,Solid Men Turtle Neck Blue T-Shirt,572,
Trendfull,322,67% off,Self Design Men Hooded Blue T-Shirt,644,
Dillinger,296,67% off,Striped Men Round Neck Grey T-Shirt,592,
ADIDAS,879,45% off,Striped Men Round Neck Grey T-Shirt,1758,
Fabstone Collection,248,58% off,"Color block Men Round or Crew Black, Blue T-Shirt",496,
NB NICKY BOY,269,75% off,Printed Men Round Neck Reversible White T-Shirt,538,
Billion,559,72% off,PerfectFit Solid Men Henley Multicolor T-Shirt,1118,
Try This,399,60% off,Color Block Men Round Neck Black T-Shirt,798,
Aelomart,424,71% off,"Striped Men Round Neck Light Green, Black T-Shirt",848,
Duke,597,40% off,Striped Men Polo Neck Pink T-Shirt,1194,
Try This,359,64% off,Self Design Men V-neck Blue T-Shirt,718,
Helmont,233,76% off,"Striped Men Hooded Neck Blue, Grey T-Shirt",466,
Elepants,260,78% off,"Color Block Men Round Neck Maroon, Black T-Shirt",520,
Rebozo,270,54% off,Checkered Men Round Neck Grey T-Shirt,540,
Tripr,319,64% off,Abstract Men Hooded Neck Dark Blue T-Shirt,638,
Highlander,328,53% off,"Printed Men Round or Crew Black, Grey T-Shirt",656,
Fabstone Collection,248,58% off,"Color block Men Round or Crew Black, Grey T-Shirt",496,
SCATCHITE,679,77% off,Checkered Men Round Neck Red T-Shirt,1358,
Rodid,371,69% off,Checkered Men Boat Neck Blue T-Shirt,742,
Rezalia,249,75% off,Striped Men Round Neck Maroon T-Shirt,498,
Try This,399,60% off,Solid Men Mandarin Collar Dark Blue T-Shirt,798,
Try This,324,67% off,Solid Men Turtle Neck Blue T-Shirt,648,
REEBOK,674,55% off,Woven Men Polo Neck Blue T-Shirt,1348,
Duke,597,40% off,Striped Men Polo Neck Pink T-Shirt,1194,
REEBOK,674,55% off,Solid Men Round Neck Black T-Shirt,1348,
Maniac,271,68% off,"Solid Men Round or Crew Grey, Black T-Shirt",542,
ZACHARIAS,292,41% off,Military Camouflage Men Round Neck Multicolor T-Shirt,584,
ADIDAS,687,57% off,Solid Men Round or Crew Blue T-Shirt,1374,
ICC Cricket World Cup,399,63% off,Sports Men Round Neck Blue T-Shirt,798,
Gritstones,339,62% off,"Solid Men Hooded Black, Red T-Shirt",678,
Duke,796,20% off,Printed Men Round Neck Multicolor T-Shirt,1592,
Tap in,299,74% off,"Printed Men Hooded Neck Black, White T-Shirt",598,
UZEE,247,75% off,Graphic Print Men Round Neck White T-Shirt,494,
MoochSingh,237,76% off,Solid Men Round Neck Black T-Shirt,474,
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1958,
Try This,497,61% off,Self Design Men Polo Neck Blue T-Shirt,994,
Elepants,294,70% off,Solid Men Hooded Black T-Shirt,588,
Converse,494,45% off,Printed Men Round Neck Blue T-Shirt,988,
Metronaut,227,62% off,Solid Men Round Neck Black T-Shirt,454,
UZEE,262,73% off,Printed Men Round Neck Blue T-Shirt,524,
Highlander,258,53% off,Solid Men Round Neck Black T-Shirt,516,
Ducati,649,50% off,Solid Men Round or Crew Black T-Shirt,1298,
UZEE,247,75% off,Graphic Print Men Round or Crew Grey T-Shirt,494,
Highlander,328,53% off,"Printed Men Round or Crew Black, Grey T-Shirt",656,
FANNZILA,135,77% off,Graphic Print Men & Women Round Neck White T-Shirt,270,
SCATCHITE,509,74% off,Checkered Men Round or Crew Black T-Shirt,1018,
Duke,796,20% off,Printed Men Round Neck Multicolor T-Shirt,1592,
Dillinger,296,67% off,Striped Men Round Neck Grey T-Shirt,592,
Metronaut,361,72% off,"Solid Men Henley Black, Grey T-Shirt",722,
Kalt,349,46% off,Striped Men Round Neck Black T-Shirt,698,
Rodid,371,69% off,Checkered Men Boat Neck Green T-Shirt,742,
Jangoboy,499,50% off,Solid Men Shawl Neck Black T-Shirt,998,
GHPC,368,63% off,Striped Men Round or Crew Dark Blue T-Shirt,736,
Duke,556,30% off,"Printed Men Round Neck Grey, Orange T-Shirt",1112,
Young Trendz,299,64% off,Printed Men Round or Crew Light Blue T-Shirt,598,
Metronaut,281,76% off,Athleisure Solid Men V-neck Grey T-Shirt,562,
Metronaut,454,65% off,Military Camouflage Men Polo Neck Dark Green T-Shirt,908,
Wildcraft,539,40% off,Printed Men Round Neck Green T-Shirt,1078,
FANNZILA,219,72% off,Printed Men Round Neck Multicolor T-Shirt,438,
Rezalia,249,75% off,Striped Men Round Neck Maroon T-Shirt,498,
Elepants,260,78% off,"Color Block Men Round Neck Black, White T-Shirt",520,
Try This,359,60% off,Self Design Men Asymmetric Black T-Shirt,718,
Avni's,139,76% off,Printed Men Round Neck Reversible Multicolor T-Shirt,278,
Rezalia,249,75% off,Striped Men Round Neck Maroon T-Shirt,498,
UZEE,234,76% off,Printed Men Round Neck Yellow T-Shirt,468,
WRODSS,273,72% off,"Printed, Striped Men Round Neck Black T-Shirt",546,
GHPC,399,60% off,Color block Men Hooded Blue T-Shirt,798,
Wearza,288,71% off,"Color Block Men Round Neck Red, White, Blue T-Shirt",576,
COBIO MAN,299,70% off,Graphic Print Men Round or Crew White T-Shirt,598,
Try This,397,60% off,Solid Men Round Neck Multicolor T-Shirt,794,
Duke,556,30% off,"Printed Men Round Neck Grey, Orange T-Shirt",1112,
SHAPPHR,269,77% off,Color Block Men Round Neck Blue T-Shirt,538,
Fabstone Collection,274,54% off,Solid Men Hooded Grey T-Shirt,548,
REEBOK,584,55% off,Printed Men Round or Crew Black T-Shirt,1168,
Duke,239,40% off,Printed Men Round Neck Grey T-Shirt,478,
EG,299,62% off,Color block Men Round or Crew Red T-Shirt,598,
Helmont,255,74% off,Solid Men Hooded Maroon T-Shirt,510,
MoochSingh,257,74% off,Printed Men & Women Round Neck Black T-Shirt,514,
Duke,239,40% off,Printed Men Round Neck Grey T-Shirt,478,
Black Collection,463,57% off,Solid Men Turtle Neck Black T-Shirt,926,
Duke,597,40% off,Striped Men Polo Neck Pink T-Shirt,1194,
UZEE,247,75% off,Printed Men Round Neck Blue T-Shirt,494,
United Colors of Benetton,649,27% off,"Printed Men Round Neck White, Blue T-Shirt",1298,
Fabstone Collection,274,60% off,Solid Men Hooded Black T-Shirt,548,
Canis,195,72% off,"Typography Men Round or Crew White, Blue, Green T-Shirt",390,
HARBORNBAY,499,54% off,Solid Men Polo Neck Green T-Shirt,998,
Highlander,328,53% off,"Printed Men Round or Crew Black, Grey T-Shirt",656,
Elepants,260,78% off,"Color Block Men Round Neck Grey, Black T-Shirt",520,
Tripr,305,66% off,Printed Men Round Neck Black T-Shirt,610,
Katso,246,62% off,FabTag - Katso Solid Men Hooded Black T-Shirt,492,
Duke,796,20% off,Printed Men Round Neck Multicolor T-Shirt,1592,
Maniac,343,66% off,"Graphic Print Men Round or Crew Black, Grey T-Shirt",686,
UZEE,247,75% off,Solid Men Round or Crew Black T-Shirt,494,
Duke,796,20% off,Printed Men Round Neck Multicolor T-Shirt,1592,
Aelomart,424,71% off,"Color Block Men Round Neck Maroon, White T-Shirt",848,
Tripr,314,65% off,Solid Men Hooded Black T-Shirt,628,
COBIO MAN,299,70% off,Graphic Print Men Round Neck Yellow T-Shirt,598,
Helmont,233,76% off,"Striped Men Hooded Neck Grey, Black T-Shirt",466,
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1958,
UZEE,247,75% off,Printed Men Round Neck Red T-Shirt,494,
Young Trendz,299,62% off,Printed Men Round Neck Orange T-Shirt,598,
Concepts,190,52% off,Solid Men Polo Neck Black T-Shirt,380,
Try This,399,60% off,"Color block Men Round or Crew Blue, White T-Shirt",798,
Metronaut,399,60% off,Solid Men Polo Neck Black T-Shirt,798,
Duke,597,40% off,Striped Men Polo Neck Pink T-Shirt,1194,
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1958,
Converse,494,45% off,Printed Men Round Neck Dark Blue T-Shirt,988,
Tees Collection,349,72% off,Solid Men Hooded Red T-Shirt,698,
Helmont,232,76% off,"Striped Men Hooded Neck Black, Red T-Shirt",464,
FIFA,239,60% off,Graphic Print Men Round Neck Green T-Shirt,478,
Metronaut,314,65% off,Solid Men Round Neck Black T-Shirt,628,
Fabstone Collection,248,58% off,"Solid, Color block Men Round or Crew Maroon, Black T-Sh...",496,
UZEE,262,73% off,Color Block Men Round Neck Dark Blue T-Shirt,524,
NB NICKY BOY,269,75% off,Printed Men Round Neck Black T-Shirt,538,
Duke,556,30% off,"Printed Men Round Neck Grey, Orange T-Shirt",1112,
Kay Dee,277,72% off,Solid Men Hooded Grey T-Shirt,554,
